index,name,baseHp,baseAtk,baseDef,critRate,critDmg,healingBonus,maxEnergy,elementDmgType,elementDmg,ascensionBonus,breakthrough,url
12,西格莉卡,10775,437,1136,5%（13%）,150%,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1478089902761410560?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
13,爱弥斯,11025,425,1148,5%（13%）,150%,0%,125,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1457744312692867072?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
14,莫宁,15375,287,1356,5%,150%,0%（12%）,175,热熔,0%,0%（15.2%）,,https://wiki.kurobbs.com/mc/item/1429461088674648064?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
15,千咲,10775,437,1136,5%（13%）,150%,0%,125,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1429457793942482944?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
16,仇远,12237,375,1197,5%（13%）,150%,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1415139197615755264?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
17,嘉贝莉娜,10300,462,1112,5%,150%（166%）,0%,125,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1415137052791296000?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
18,尤诺,10525,450,1124,5%（13%）,150%,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1400453856120164352?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
19,奥古斯塔,10300,462,1112,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1400451112145264640?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
20,弗洛洛,10775,437,1136,5%（13%）,150%,0%,0,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1386685588185022464?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
21,露帕,11912,387,1185,5%（13%）,150%,0%,125,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1370474602963382272?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
22,夏空,12237,375,1197,5%,150%（166%）,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1357568005112766464?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
23,卡提希娅,14800,312,611,5%（13%）,150%,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1370471621924728832?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
24,赞妮,10775,437,1136,5%（13%）,150%,0%,125,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1309607355563974656?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
25,坎特蕾拉,11600,400,1099,5%（13%）,150%,0%,125,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1342471419668557824?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
26,菲比,10825,412,1258,5%,150%（166%）,0%,125,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1309523456688947200?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
27,布兰特,11675,375,1307,5%（13%）,150%,0%,175,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1309566040441675776?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
28,洛可可,12250,375,1197,5%,150%（166%）,0%,125,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1328404385305366528?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
29,珂莱塔,12450,462,1197,5%（13%）,150%,0%,125,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1321977849344999424?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
30,椿,10325,450,1161,5%,150%（166%）,0%,125,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1302065018502307840?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
31,守岸人,16712,287,1099,5%,150%,0%（12%）,175,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1286814658335739904?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
32,折枝,12250,375,1197,5%（13%）,150%,0%,125,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1269802618305703936?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
33,相里要,10625,425,1222,5%,150%（166%）,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1272626941409398784?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
34,长离,10387,462,1099,5%（13%）,150%,0%,125,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1262882649069621248?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
35,今汐,10825,412,1258,5%（13%）,150%,0%,150,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1249040336606580736?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
36,吟霖,11000,400,1283,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1239319812692709376?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
37,忌炎,10487,437,1185,5%（13%）,150%,0%,125,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1240073643014045696?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
38,漂泊者-女-气动,10775,437,1136,5%,150%,0%（12%）,150,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1353293318050545664?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
39,漂泊者-男-气动,10775,437,1136,5%,150%,0%（12%）,150,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1353291691268767744?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
40,鉴心,14112,337,1124,5%（13%）,150%,0%,150,气动,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242295527595823104?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
41,卡卡罗,10500,437,1185,5％,150%（166％）,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242295483584421888?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
42,安可,10512,425,1246,5%,150%,0%,125,热熔,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242296163679776768?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
43,维里奈,14237,337,1099,5%,150%,0%（12%）,175,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242295554161025024?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
44,凌阳,10387,437,1209,5%,150%,0%,125,冷凝,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242296125975633920?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
45,漂泊者-男-衍射,11400,375,1368,5%,150%,0%,125,衍射,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1239724074505539584?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
46,漂泊者-女-衍射,11400,375,1368,5%,150%,0%,125,衍射,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242294789908504576?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
47,漂泊者-男-湮灭,10825,412,1258,5%,150%,0%,125,湮灭,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242115703531454464?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
48,漂泊者-女-湮灭,10825,412,1258,5%,150%,0%,125,湮灭,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1242103196649603072?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
49,卜灵,10625,225,1258,5%,150%,0%（12%）,150,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1429461100965666816?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
50,灯灯,8500,337,879,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1312376371368607744?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
51,秧秧,10200,250,1099,5%,150%,0%,100,气动,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1233436648562032640?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
52,釉瑚,9975,262,1051,5%（13%）,150%,0%,100,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1287721354505175040?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
53,白芷,12812,212,1002,5%,150%,0%（12%）,175,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1233429754977792000?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
54,炽霞,9087,300,953,5%,150%,0%,150,热熔,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1240039812638883840?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
55,散华,10062,275,941,5%,150%,0%,100,冷凝,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1233492733107564544?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
56,秋水,9850,262,1075,5%,150%,0%,150,气动,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1233210783276019712?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
57,丹瑾,9437,262,1148,5%,150%,0%,100,湮灭,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1233430505140629504?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
58,莫特斐,"10,025",250,"1,136",5%,150%,0%,125,热熔,0%（12%）,0%（12%）,,https://wiki.kurobbs.com/mc/item/1240157802556833792?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
59,渊武,8525,225,1637,5%,150%,0%,125,导电,0%（12%）,0%（15.2%）,,https://wiki.kurobbs.com/mc/item/1239990507047161856?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
60,桃祈,8950,225,1564,5%,150%,0%,125,湮灭,0%（12%）,0%（15.2%）,,https://wiki.kurobbs.com/mc/item/1240051046261592064?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
