status,character,skillType,rowType,officialLabel,baseLabel,baseLv10,officialLv10,multiplierCount,compositeOfficialLabel
same,陆·赫斯,共鸣技能,damage,斩杀日冕·环伤害,斩杀日冕·环伤害,26.56%*5+88.53%,26.56%*5+88.53%,20,
same,陆·赫斯,共鸣技能,damage,斩杀日冕·破伤害,斩杀日冕·破伤害,95.91%*3,95.91%*3,20,
same,陆·赫斯,共鸣技能,damage,斩杀日冕·曜伤害,斩杀日冕·曜伤害,354.11%,354.11%,20,
same,陆·赫斯,共鸣技能,damage,普攻·流金贯行伤害,普攻·流金贯行伤害,155.47%,155.47%,20,
same,陆·赫斯,共鸣技能,damage,日髓阵列伤害,日髓阵列伤害,153.45%,153.45%,20,
same,陆·赫斯,共鸣回路,damage,判决大地裂响伤害,判决大地裂响伤害,306.90%,306.90%,20,
unmapped_official,陆·赫斯,共鸣回路,damage,日髓碎刃伤害（每0.15秒）,,,10,,
unmapped_official,陆·赫斯,共鸣解放,damage,技能伤害,,,745.54%+49.71%*5,,
unmapped_official,陆·赫斯,变奏技能,damage,技能伤害,,,72.67%*3,,
same,琳奈,常态攻击,damage,普攻第一段伤害,普攻第一段伤害,86.19%,86.19%,20,
same,琳奈,常态攻击,damage,普攻第二段伤害,普攻第二段伤害,52.39%+52.39%+52.39%,52.39%+52.39%+52.39%,20,
same,琳奈,常态攻击,damage,普攻第三段伤害,普攻第三段伤害,123.37%,123.37%,20,
same,琳奈,常态攻击,damage,闪避反击伤害,闪避反击伤害,239.97%,239.97%,20,
same,琳奈,常态攻击,damage,空中攻击伤害,空中攻击伤害,14.37%+129.28%,14.37%+129.28%,20,
same,琳奈,常态攻击,damage,普攻·灵感碰撞·1级伤害,普攻·灵感碰撞·1级伤害,55.56%*2,55.56%*2,20,
same,琳奈,常态攻击,damage,普攻·灵感碰撞·2级伤害,普攻·灵感碰撞·2级伤害,166.67%*2,166.67%*2,20,
same,琳奈,常态攻击,damage,普攻·灵感碰撞·3级伤害,普攻·灵感碰撞·3级伤害,277.78%*2,277.78%*2,20,
same,琳奈,常态攻击,damage,绮彩巡游·普攻第一段伤害,绮彩巡游·普攻第一段伤害,82.81%,82.81%,20,
same,琳奈,常态攻击,damage,绮彩巡游·普攻第二段伤害,绮彩巡游·普攻第二段伤害,38.87%*2,38.87%*2,20,
same,琳奈,常态攻击,damage,绮彩巡游·普攻第三段伤害,绮彩巡游·普攻第三段伤害,37.75%*3,37.75%*3,20,
same,琳奈,常态攻击,damage,绮彩巡游·普攻第四段伤害,绮彩巡游·普攻第四段伤害,29.75%*2+44.62%+44.62%,29.75%*2+44.62%+44.62%,20,
same,琳奈,常态攻击,damage,绮彩巡游·普攻第五段伤害,绮彩巡游·普攻第五段伤害,75.54%+15.11%*5+100.72%,75.54%+15.11%*5+100.72%,20,
same,琳奈,常态攻击,damage,绮彩巡游·地面重击伤害,绮彩巡游·地面重击伤害,17.63%*7,17.63%*7,20,
same,琳奈,常态攻击,damage,绮彩巡游·跃动集束伤害,绮彩巡游·跃动集束伤害,104.78%,104.78%,20,
same,琳奈,常态攻击,damage,绮彩巡游·空中攻击伤害,绮彩巡游·空中攻击伤害,14.37%+129.28%,14.37%+129.28%,20,
same,琳奈,常态攻击,damage,绮彩巡游·空中重击伤害,绮彩巡游·空中重击伤害,34.77%*7,34.77%*7,20,
same,琳奈,共鸣技能,damage,琳奈式创想伤害,琳奈式创想伤害,139.31%+46.44%*3,139.31%+46.44%*3,20,
same,琳奈,共鸣技能,damage,加色混合伤害,加色混合伤害,116.31%*2,116.31%*2,20,
same,琳奈,共鸣回路,damage,普攻·虹彩飞溅伤害,普攻·虹彩飞溅伤害,304.18%,304.18%,20,
same,琳奈,共鸣回路,damage,普攻·视觉冲击伤害,普攻·视觉冲击伤害,1216.72%,1216.72%,20,
same,琳奈,共鸣回路,damage,震谐响应·光谱解析伤害,震谐响应·光谱解析伤害,1880.75%,1880.75%,20,
same,琳奈,共鸣解放,damage,爆炸喷涂伤害,爆炸喷涂伤害,87.48%*10,87.48%*10,20,
same,琳奈,共鸣解放,damage,普攻·向着多彩的明天！伤害,普攻·向着多彩的明天！伤害,8.38%*12+10.05%*10,8.38%*12+10.05%*10,20,
same,琳奈,变奏技能,damage,来点儿颜色瞧瞧！伤害,来点儿颜色瞧瞧！伤害,22.48%*10,22.48%*10,20,
same,洛瑟菈,常态攻击,damage,普攻第一段伤害,普攻第一段伤害,59.29%,59.29%,20,
same,洛瑟菈,常态攻击,damage,普攻第二段伤害,普攻第二段伤害,26.89%+40.34%,26.89%+40.34%,20,
same,洛瑟菈,常态攻击,damage,普攻第三段·乏善可陈伤害,普攻第三段·乏善可陈伤害,159.55%,159.55%,20,
same,洛瑟菈,常态攻击,damage,普攻第三段·可圈可点伤害,普攻第三段·可圈可点伤害,235.27%,235.27%,20,
same,洛瑟菈,常态攻击,damage,空中攻击伤害,空中攻击伤害,86.29%,86.29%,20,
same,洛瑟菈,常态攻击,damage,闪避反击伤害,闪避反击伤害,67.83%+82.90%,67.83%+82.90%,20,
same,洛瑟菈,共鸣技能,damage,幻象定帧伤害,幻象定帧伤害,13.26%*3,13.26%*3,20,
same,洛瑟菈,共鸣技能,damage,补光伤害,补光伤害,249.07%,249.07%,20,
same,洛瑟菈,共鸣技能,damage,追光伤害,追光伤害,82.35%+82.35%+274.48%+109.80%,82.35%+82.35%+274.48%+109.80%,20,
same,洛瑟菈,共鸣回路,damage,遗忘伤害,遗忘伤害,285.48%,285.48%,20,
same,洛瑟菈,共鸣解放,damage,历历在目伤害,历历在目伤害,142.74%,142.74%,20,
same,洛瑟菈,共鸣解放,damage,普攻·溯念留形第一段伤害,普攻·溯念留形第一段伤害,30.64%+45.95%,30.64%+45.95%,20,
same,洛瑟菈,共鸣解放,damage,普攻·溯念留形第二段伤害,普攻·溯念留形第二段伤害,59.77%+89.65%,59.77%+89.65%,20,
same,洛瑟菈,共鸣解放,damage,普攻·溯念留形第三段伤害,普攻·溯念留形第三段伤害,52.12%*8,52.12%*8,20,
same,洛瑟菈,共鸣解放,damage,断舍离伤害,断舍离伤害,84.81%*3+593.64%,84.81%*3+593.64%,20,
same,洛瑟菈,共鸣解放,damage,空中攻击·追忆伤害,空中攻击·追忆伤害,110.94%,110.94%,20,
same,洛瑟菈,共鸣解放,damage,闪避反击·追忆伤害,闪避反击·追忆伤害,115.55%+141.22%,115.55%+141.22%,20,
same,洛瑟菈,变奏技能,damage,剪辑伤害,剪辑伤害,97.42%,97.42%,20,
same,洛瑟菈,变奏技能,damage,剪辑·硬切伤害,剪辑·硬切伤害,149.41%,149.41%,20,
same,露西,常态攻击,damage,普攻第一段伤害,普攻第一段伤害,12.15%*6+48.59%,12.15%*6+48.59%,20,
same,露西,常态攻击,damage,普攻第二段伤害,普攻第二段伤害,20.66%+20.05%*2,20.66%+20.05%*2,20,
same,露西,常态攻击,damage,普攻第三段伤害,普攻第三段伤害,36.06%+36.06%+48.08%,36.06%+36.06%+48.08%,20,
same,露西,常态攻击,damage,普攻第四段伤害,普攻第四段伤害,31.02%+15.51%*3+38.77%+38.77%,31.02%+15.51%*3+38.77%+38.77%,20,
same,露西,常态攻击,damage,重击第一段伤害,重击第一段伤害,22.10%+22.10%+29.47%,22.10%+22.10%+29.47%,20,
same,露西,常态攻击,damage,重击第二段伤害,重击第二段伤害,56.86%*2+18.96%*3+56.86%+56.86%,56.86%*2+18.96%*3+56.86%+56.86%,20,
same,露西,常态攻击,damage,空中攻击伤害,空中攻击伤害,58.16%+58.16%,58.16%+58.16%,20,
same,露西,常态攻击,damage,闪避反击伤害,闪避反击伤害,59.32%+79.09%+59.32%,59.32%+79.09%+59.32%,20,
same,露西,常态攻击,damage,空中攻击·算法压缩伤害,空中攻击·算法压缩伤害,62.63%+62.63%,62.63%+62.63%,20,
same,露西,常态攻击,damage,闪避反击·算法压缩伤害,闪避反击·算法压缩伤害,38.97%+38.97%+38.97%+38.97%+38.97%,38.97%+38.97%+38.97%+38.97%+38.97%,20,
same,露西,常态攻击,damage,普攻·线程撕裂第一段伤害,普攻·线程撕裂第一段伤害,19.49%+19.49%+19.49%+19.49%,19.49%+19.49%+19.49%+19.49%,20,
same,露西,常态攻击,damage,普攻·线程撕裂第二段伤害,普攻·线程撕裂第二段伤害,22.27%+22.27%+22.27%+22.27%+22.27%,22.27%+22.27%+22.27%+22.27%+22.27%,20,
same,露西,常态攻击,damage,普攻·线程撕裂第三段伤害,普攻·线程撕裂第三段伤害,28.12%+28.12%+28.12%+28.12%+28.12%,28.12%+28.12%+28.12%+28.12%+28.12%,20,
same,露西,常态攻击,damage,普攻·线程撕裂第四段伤害,普攻·线程撕裂第四段伤害,25.06%+25.06%+25.06%+25.06%+25.06%,25.06%+25.06%+25.06%+25.06%+25.06%,20,
same,露西,常态攻击,damage,重击·单线程伤害,重击·单线程伤害,23.39%+23.39%+23.39%+23.39%+23.39%,23.39%+23.39%+23.39%+23.39%+23.39%,20,
same,露西,常态攻击,damage,重击·双线程伤害,重击·双线程伤害,33.41%+33.41%+33.41%+33.41%+33.41%,33.41%+33.41%+33.41%+33.41%+33.41%,20,
same,露西,常态攻击,damage,重击·多线程伤害,重击·多线程伤害,59.65%+59.65%*3,59.65%+59.65%*3,20,
same,露西,共鸣技能,damage,共鸣技能·有效载荷突进攻击伤害,共鸣技能·有效载荷突进攻击伤害,20.05%+10.03%,20.05%+10.03%,20,
same,露西,共鸣技能,damage,共鸣技能·有效载荷追加攻击伤害,共鸣技能·有效载荷追加攻击伤害,40.09%+10.03%+20.05%,40.09%+10.03%+20.05%,20,
same,露西,共鸣技能,damage,共鸣技能·脉冲干扰伤害,共鸣技能·脉冲干扰伤害,30.86%*2+61.72%*3+61.72%,30.86%*2+61.72%*3+61.72%,20,
same,露西,共鸣技能,damage,共鸣技能·死锁伤害,共鸣技能·死锁伤害,51.70%+206.77%,51.70%+206.77%,20,
equivalent,露西,共鸣回路,damage,骇破响应·数据崩解伤害,骇破响应·数据崩解伤害,1094.19%+68.39%*4,1094.19%+68.39%*4偏谐系数,20,
same,露西,共鸣解放,damage,共鸣解放·网络行者·覆写篡改伤害,共鸣解放·网络行者·覆写篡改伤害,894.65%,894.65%,20,
same,露西,共鸣解放,damage,欺骗程式·集群入侵伤害,欺骗程式·集群入侵伤害,79.53%,79.53%,20,
same,露西,共鸣解放,damage,欺骗程式·突触熔融伤害,欺骗程式·突触熔融伤害,79.53%,79.53%,20,
equivalent,露西,共鸣解放,damage,欺骗程式·运动失能伤害,欺骗程式·运动失能伤害,911.83%,911.83%偏谐系数,20,
same,露西,共鸣解放,damage,共鸣解放·暗网深潜·覆写篡改伤害,共鸣解放·暗网深潜·覆写篡改伤害,1789.29%,1789.29%,20,
same,露西,变奏技能,damage,变奏技能·过时幻觉伤害,变奏技能·过时幻觉伤害,69.14%+69.14%,69.14%+69.14%,20,
same,丽贝卡,常态攻击,damage,普攻·猎手第一段伤害,普攻·猎手第一段伤害,36.76%+36.76%,36.76%+36.76%,20,
same,丽贝卡,常态攻击,damage,普攻·猎手第二段伤害,普攻·猎手第二段伤害,19.13%*4+19.13%,19.13%*4+19.13%,20,
same,丽贝卡,常态攻击,damage,普攻·猎手第三段伤害,普攻·猎手第三段伤害,109.85%,109.85%,20,
same,丽贝卡,常态攻击,damage,重击·猎手伤害,重击·猎手伤害,16.90%+16.90%,16.90%+16.90%,20,
same,丽贝卡,常态攻击,damage,重击·吃枪子吧！·猎手伤害,重击·吃枪子吧！·猎手伤害,60.84%+60.84%,60.84%+60.84%,20,
same,丽贝卡,常态攻击,damage,空中攻击·猎手伤害,空中攻击·猎手伤害,136.04%,136.04%,20,
same,丽贝卡,常态攻击,damage,闪避反击·猎手伤害,闪避反击·猎手伤害,211.24%,211.24%,20,
same,丽贝卡,常态攻击,damage,战术闪避·猎手伤害,战术闪避·猎手伤害,16.90%*4+16.90%,16.90%*4+16.90%,20,
same,丽贝卡,常态攻击,damage,战术闪避·猎手闪避成功伤害,战术闪避·猎手闪避成功伤害,148.71%,148.71%,20,
same,丽贝卡,常态攻击,damage,普攻·铁胆第一段伤害,普攻·铁胆第一段伤害,61.69%+61.69%,61.69%+61.69%,20,
same,丽贝卡,常态攻击,damage,普攻·铁胆第二段伤害,普攻·铁胆第二段伤害,84.50%,84.50%,20,
same,丽贝卡,常态攻击,damage,普攻·铁胆第三段伤害,普攻·铁胆第三段伤害,33.77%+33.77%+157.57%,33.77%+33.77%+157.57%,20,
same,丽贝卡,常态攻击,damage,重击·铁胆伤害,重击·铁胆伤害,202.79%,202.79%,20,
same,丽贝卡,常态攻击,damage,空中攻击·铁胆伤害,空中攻击·铁胆伤害,104.78%,104.78%,20,
same,丽贝卡,常态攻击,damage,闪避反击·铁胆伤害,闪避反击·铁胆伤害,258.56%,258.56%,20,
same,丽贝卡,常态攻击,damage,战术闪避·铁胆伤害,战术闪避·铁胆伤害,101.40%,101.40%,20,
same,丽贝卡,常态攻击,damage,战术闪避·铁胆闪避成功伤害,战术闪避·铁胆闪避成功伤害,148.71%,148.71%,20,
same,丽贝卡,共鸣技能,damage,共鸣技能·来发大的！伤害,共鸣技能·来发大的！伤害,23.66%+23.66%+23.66%+23.66%+35.49%+35.49%+35.49%+35.49%,23.66%+23.66%+23.66%+23.66%+35.49%+35.49%+35.49%+35.49%,20,
same,丽贝卡,共鸣技能,damage,共鸣技能·有本事来抓我！伤害,共鸣技能·有本事来抓我！伤害,23.66%+4.74%+23.66%+23.66%+137.22%+11.83%+11.83%,23.66%+4.74%+23.66%+23.66%+137.22%+11.83%+11.83%,20,
equivalent,丽贝卡,共鸣回路,damage,骇破响应·熔触伤害,骇破响应·熔触伤害,2358.89%,2358.89%偏谐系数,20,
same,丽贝卡,共鸣回路,damage,哒哒哒！·猎手伤害,哒哒哒！·猎手伤害,19.89%+19.89%+19.89%+318.10%+19.89%,19.89%+19.89%+19.89%+318.10%+19.89%,20,
same,丽贝卡,共鸣回路,damage,砰砰砰！·铁胆伤害,砰砰砰！·铁胆伤害,278.34%,278.34%,20,
same,丽贝卡,共鸣解放,damage,【31型重机枪】伤害,【31型重机枪】伤害,24.30%,24.30%,20,
same,丽贝卡,共鸣解放,damage,【31型重机枪】威力提升1次伤害,【31型重机枪】威力提升1次伤害,48.60%,48.60%,20,
same,丽贝卡,共鸣解放,damage,【31型重机枪】威力提升2次伤害,【31型重机枪】威力提升2次伤害,72.90%,72.90%,20,
same,丽贝卡,共鸣解放,damage,大烟花！伤害,大烟花！伤害,63.62%+572.58%,63.62%+572.58%,20,
same,丽贝卡,变奏技能,damage,呜呼，来发大的！伤害,呜呼，来发大的！伤害,27.04%+27.04%+27.04%+27.04%+27.04%+27.04%+40.56%+67.60%,27.04%+27.04%+27.04%+27.04%+27.04%+27.04%+40.56%+67.60%,20,
same,丽贝卡,变奏技能,damage,蠢货，有本事来抓我！伤害,蠢货，有本事来抓我！伤害,10.14%+30.42%+40.56%+40.56%+40.56%+40.56%,10.14%+30.42%+40.56%+40.56%+40.56%+40.56%,20,
same,达妮娅,常态攻击,damage,普攻·布景之形第一段伤害,普攻·布景之形第一段伤害,32.69%,32.69%,20,
same,达妮娅,常态攻击,damage,普攻·布景之形第二段伤害,普攻·布景之形第二段伤害,30.18%*2,30.18%*2,20,
same,达妮娅,常态攻击,damage,普攻·布景之形第三段伤害,普攻·布景之形第三段伤害,25.49%*3,25.49%*3,20,
same,达妮娅,常态攻击,damage,普攻·布景之形第四段伤害,普攻·布景之形第四段伤害,128.00%,128.00%,20,
same,达妮娅,常态攻击,damage,重击·布景之形伤害,重击·布景之形伤害,80.76%*2,80.76%*2,20,
same,达妮娅,常态攻击,damage,空中攻击·布景之形伤害,空中攻击·布景之形伤害,29.59%+44.38%,29.59%+44.38%,20,
same,达妮娅,常态攻击,damage,闪避反击·布景之形伤害,闪避反击·布景之形伤害,49.35%*3,49.35%*3,20,
same,达妮娅,常态攻击,damage,普攻·幻灭之形第一段伤害,普攻·幻灭之形第一段伤害,36.51%,36.51%,20,
same,达妮娅,常态攻击,damage,普攻·幻灭之形第二段伤害,普攻·幻灭之形第二段伤害,37.51%+14.07%*4,37.51%+14.07%*4,20,
same,达妮娅,常态攻击,damage,普攻·幻灭之形第三段伤害,普攻·幻灭之形第三段伤害,62.39%,62.39%,20,
same,达妮娅,常态攻击,damage,普攻·幻灭之形第四段伤害,普攻·幻灭之形第四段伤害,35.54%+82.92%,35.54%+82.92%,20,
same,达妮娅,常态攻击,damage,重击·幻灭之形伤害,重击·幻灭之形伤害,137.06%,137.06%,20,
same,达妮娅,常态攻击,damage,空中攻击·幻灭之形第一段伤害,空中攻击·幻灭之形第一段伤害,36.51%,36.51%,20,
same,达妮娅,常态攻击,damage,空中攻击·幻灭之形第二段伤害,空中攻击·幻灭之形第二段伤害,37.51%+14.07%*4,37.51%+14.07%*4,20,
same,达妮娅,常态攻击,damage,空中攻击·幻灭之形第三段伤害,空中攻击·幻灭之形第三段伤害,62.39%,62.39%,20,
same,达妮娅,常态攻击,damage,空中攻击·幻灭之形第四段伤害,空中攻击·幻灭之形第四段伤害,35.54%+82.92%,35.54%+82.92%,20,
same,达妮娅,常态攻击,damage,空中重击·幻灭之形伤害,空中重击·幻灭之形伤害,29.59%+44.38%,29.59%+44.38%,20,
same,达妮娅,常态攻击,damage,闪避反击·幻灭之形伤害,闪避反击·幻灭之形伤害,108.08%,108.08%,20,
same,达妮娅,共鸣技能,damage,拟态泡泡·布景之形伤害,拟态泡泡·布景之形伤害,17.42%*3+52.25%,17.42%*3+52.25%,20,
same,达妮娅,共鸣技能,damage,轻唤·幻灭之形伤害,轻唤·幻灭之形伤害,31.10%+14.52%*5,31.10%+14.52%*5,20,
same,达妮娅,共鸣技能,damage,放逐·幻灭之形第一段伤害,放逐·幻灭之形第一段伤害,34.68%*3,34.68%*3,20,
same,达妮娅,共鸣技能,damage,放逐·幻灭之形第二段伤害,放逐·幻灭之形第二段伤害,112.01%,112.01%,20,
same,达妮娅,共鸣回路,damage,蚀域每次伤害,蚀域每次伤害,136.33%,136.33%,20,
same,达妮娅,共鸣解放,damage,帷幕终景·布景之形伤害,帷幕终景·布景之形伤害,397.62%,397.62%,20,
same,达妮娅,共鸣解放,damage,帷幕终景·幻灭之形伤害,帷幕终景·幻灭之形伤害,198.81%*4,198.81%*4,20,
same,达妮娅,变奏技能,damage,久疏问候！伤害,久疏问候！伤害,104.62%,104.62%,20,
same,达妮娅,变奏技能,damage,轻叩门扉伤害,轻叩门扉伤害,51.74%*3,51.74%*3,20,
same,绯雪,常态攻击,damage,普攻·常世身第一段伤害,普攻·常世身第一段伤害,37.72%+37.72%,37.72%+37.72%,20,
same,绯雪,常态攻击,damage,普攻·常世身第二段伤害,普攻·常世身第二段伤害,90.25%,90.25%,20,
same,绯雪,常态攻击,damage,普攻·常世身第三段伤害,普攻·常世身第三段伤害,4.92%*5+98.37%,4.92%*5+98.37%,20,
same,绯雪,常态攻击,damage,重击·寒簇·常世身伤害,重击·寒簇·常世身伤害,79.31%*2+158.61%,79.31%*2+158.61%,20,
same,绯雪,常态攻击,damage,空中攻击·常世身伤害,空中攻击·常世身伤害,128.18%,128.18%,20,
same,绯雪,常态攻击,damage,闪避反击·常世身伤害,闪避反击·常世身伤害,173.75%,173.75%,20,
same,绯雪,常态攻击,damage,普攻·预求身第一段伤害,普攻·预求身第一段伤害,49.27%,49.27%,20,
same,绯雪,常态攻击,damage,普攻·预求身第二段伤害,普攻·预求身第二段伤害,40.02%+40.02%,40.02%+40.02%,20,
same,绯雪,常态攻击,damage,普攻·预求身第三段伤害,普攻·预求身第三段伤害,25.16%*4+67.08%,25.16%*4+67.08%,20,
same,绯雪,常态攻击,damage,普攻·预求身第四段伤害,普攻·预求身第四段伤害,29.93%+29.93%+29.93%+29.93%+29.93%,29.93%+29.93%+29.93%+29.93%+29.93%,20,
same,绯雪,常态攻击,damage,普攻·预求身第五段伤害,普攻·预求身第五段伤害,12.17%+109.47%,12.17%+109.47%,20,
same,绯雪,常态攻击,damage,重击·预求身伤害,重击·预求身伤害,107.16%,107.16%,20,
same,绯雪,常态攻击,damage,重击·枯霜·预求身伤害,重击·枯霜·预求身伤害,15.41%*8+493.05%,15.41%*8+493.05%,20,
same,绯雪,常态攻击,damage,空中攻击·预求身第一段伤害,空中攻击·预求身第一段伤害,28.83%+28.83%+38.43%,28.83%+28.83%+38.43%,20,
same,绯雪,常态攻击,damage,空中攻击·预求身第二段伤害,空中攻击·预求身第二段伤害,26.09%+26.09%+26.09%+26.09%,26.09%+26.09%+26.09%+26.09%,20,
same,绯雪,常态攻击,damage,空中下落攻击·预求身伤害,空中下落攻击·预求身伤害,111.60%,111.60%,20,
same,绯雪,常态攻击,damage,闪避反击·预求身伤害,闪避反击·预求身伤害,81.77%+81.77%,81.77%+81.77%,20,
same,绯雪,共鸣技能,damage,共鸣技能·常世身伤害,共鸣技能·常世身伤害,24.50%*4+97.98%,24.50%*4+97.98%,20,
same,绯雪,共鸣技能,damage,霜罚·白玉切伤害,霜罚·白玉切伤害,66.01%*4,66.01%*4,20,
same,绯雪,共鸣技能,damage,霜罚·落华伤害,霜罚·落华伤害,64.02%*4+64.02%,64.02%*4+64.02%,20,
same,绯雪,共鸣回路,damage,普攻·居合伤害,普攻·居合伤害,283.82%+47.31%*4,283.82%+47.31%*4,20,
same,绯雪,共鸣解放,damage,预求我身·见心伤害,预求我身·见心伤害,397.62%,397.62%,20,
same,绯雪,共鸣解放,damage,预求我身·归刃基础伤害,预求我身·归刃基础伤害,198.81%+795.24%,198.81%+795.24%,20,
same,绯雪,共鸣解放,damage,每点【锻雪·归刃】共增加预求我身·归刃伤害,每点【锻雪·归刃】共增加预求我身·归刃伤害,795.24%,795.24%,20,
unmapped_official,绯雪,变奏技能,damage,技能伤害,,,156.15%,,
same,西格莉卡,常态攻击,damage,普攻第一段伤害,普攻第一段伤害,52.97%,52.97%,20,
same,西格莉卡,常态攻击,damage,普攻第二段伤害,普攻第二段伤害,50.34%+50.34%,50.34%+50.34%,20,
same,西格莉卡,常态攻击,damage,普攻第三段伤害,普攻第三段伤害,33.41%+33.41%+44.54%,33.41%+33.41%+44.54%,20,
same,西格莉卡,常态攻击,damage,普攻第四段伤害,普攻第四段伤害,41.36%+51.70%+51.70%+62.03%,41.36%+51.70%+51.70%+62.03%,20,
same,西格莉卡,常态攻击,damage,普攻·明悟伤害,普攻·明悟伤害,61.56%*3+123.11%,61.56%*3+123.11%,20,
same,西格莉卡,常态攻击,damage,重击伤害,重击伤害,58.14%*2,58.14%*2,20,
same,西格莉卡,常态攻击,damage,空中攻击伤害,空中攻击伤害,104.78%,104.78%,20,
same,西格莉卡,常态攻击,damage,闪避反击伤害,闪避反击伤害,65.91%+65.91%+87.88%,65.91%+65.91%+87.88%,20,
same,西格莉卡,常态攻击,damage,空中闪避反击伤害,空中闪避反击伤害,206.17%,206.17%,20,
same,西格莉卡,常态攻击,damage,闪避反击·解读伤害,闪避反击·解读伤害,61.56%*3+123.11%,61.56%*3+123.11%,20,
same,西格莉卡,共鸣技能,damage,嘭嘭！伤害,嘭嘭！伤害,28.63%+28.63%+28.63%+57.26%,28.63%+28.63%+28.63%+57.26%,20,
same,西格莉卡,共鸣技能,damage,大嘭嘭！伤害,大嘭嘭！伤害,28.81%*4+172.85%,28.81%*4+172.85%,20,
same,西格莉卡,共鸣技能,damage,日灵帮帮忙伤害,日灵帮帮忙伤害,27.83%*3+194.77%,27.83%*3+194.77%,20,
same,西格莉卡,共鸣回路,damage,重击·符语本源伤害,重击·符语本源伤害,132.51%,132.51%,20,
same,西格莉卡,共鸣回路,damage,符语爆破伤害,符语爆破伤害,117.67%+205.92%+264.75%,117.67%+205.92%+264.75%,20,
same,西格莉卡,共鸣回路,damage,符语链刃伤害,符语链刃伤害,49.70%*4+66.26%*3,49.70%*4+66.26%*3,20,
same,西格莉卡,共鸣回路,damage,符语日灵伤害,符语日灵伤害,39.76%+59.63%*4+119.26%,39.76%+59.63%*4+119.26%,20,
same,西格莉卡,共鸣回路,damage,共鸣回路·我即语义伤害,共鸣回路·我即语义伤害,302.87%+908.61%,302.87%+908.61%,20,
unmapped_official,西格莉卡,共鸣解放,damage,技能伤害,,,861.43%,,
unmapped_official,西格莉卡,变奏技能,damage,技能伤害,,,163.42%,,
same,爱弥斯,常态攻击,damage,普攻·爱弥斯第一段伤害,普攻·爱弥斯第一段伤害,46.35%,46.35%,20,
same,爱弥斯,常态攻击,damage,普攻·爱弥斯第二段伤害,普攻·爱弥斯第二段伤害,13.89%+20.84%+34.73%,13.89%+20.84%+34.73%,20,
same,爱弥斯,常态攻击,damage,普攻·爱弥斯第三段伤害,普攻·爱弥斯第三段伤害,9.32%*3+18.63%+46.56%,9.32%*3+18.63%+46.56%,20,
same,爱弥斯,常态攻击,damage,普攻·爱弥斯第四段伤害,普攻·爱弥斯第四段伤害,6.73%*5+100.94%,6.73%*5+100.94%,20,
same,爱弥斯,常态攻击,damage,重击·爱弥斯·一段蓄力伤害,重击·爱弥斯·一段蓄力伤害,18.57%+74.26%,18.57%+74.26%,20,
same,爱弥斯,常态攻击,damage,重击·爱弥斯·二段蓄力伤害,重击·爱弥斯·二段蓄力伤害,11.60%*4+185.60%,11.60%*4+185.60%,20,
same,爱弥斯,常态攻击,damage,空中攻击·爱弥斯伤害,空中攻击·爱弥斯伤害,86.29%,86.29%,20,
same,爱弥斯,常态攻击,damage,闪避反击·爱弥斯伤害,闪避反击·爱弥斯伤害,26.02%*3+52.03%+130.06%,26.02%*3+52.03%+130.06%,20,
